Ni,Nh1,Nh2,No,act_f,n_epochs,batchsize,lr,decay,lr_final,reg_type,alpha_reg,patience,train_loss,val_loss
1,48,48,1,ReLU,5000,1,0.007569626931712236,True,0.0005,L2,0.009159985780786868,400,2.4839168953949966,2.200040195652131
1,74,74,1,sig,5000,1,0.007869708628032893,True,0.0005,L1,0.0084194546211625,400,3.6396220284910017,3.601580528533
1,59,59,1,sig,5000,1,0.009749037727994476,True,0.0005,L2,0.007418319910766609,400,1.5409597757758027,1.5955071203480227
1,36,36,1,ReLU,5000,1,0.005362356918134489,True,0.0005,L1,0.004551395380143116,400,1.2460921652948254,1.1850909461365027
1,18,18,1,sig,5000,1,0.0018456264413576787,True,0.0005,L1,0.0010177461377803513,400,1.3258328502313483,1.3668543458845246
1,21,21,1,ReLU,5000,1,0.0014530554605071359,True,0.0005,L1,0.0032065024146546452,400,1.1081591051238189,1.2400694548887816
1,15,15,1,ReLU,5000,1,0.006650898258432107,True,0.0005,L1,0.003372514084910087,400,1.138848246347043,1.2025087750806127
1,38,38,1,leaky ReLU,5000,1,0.0021878639047286626,True,0.0005,L2,0.003157041641135678,400,1.2044490822595924,1.3377490180672789
1,87,87,1,ReLU,5000,1,0.009939959766319267,True,0.0005,None,0.008789362259478437,400,7.412178617069734,6.6415273326006625
1,43,43,1,ReLU,5000,1,0.005696714587304741,True,0.0005,L1,0.008245238093848016,400,1.369975771576582,1.2308503392453631
1,55,55,1,leaky ReLU,5000,1,0.007042583754883828,True,0.0005,None,0.005871051218740251,400,1.5710394095025444,1.596521481428656
1,96,96,1,ReLU,5000,1,0.0046680028882994835,True,0.0005,L1,0.0024687134143247247,400,1.1300383874516382,1.2436477157444568
1,16,16,1,leaky ReLU,5000,1,0.002264250819860098,True,0.0005,L2,0.004466162341299438,400,1.0886998514502277,1.2684849288242641
1,37,37,1,leaky ReLU,5000,1,0.003550785104937736,True,0.0005,L2,0.0023974806770536705,400,1.0443434066697108,1.2440970815193253
1,6,6,1,ReLU,5000,1,0.009890386295899431,True,0.0005,L2,0.0028849454766858747,400,20.861526947494262,22.81557294259753
1,97,97,1,ReLU,5000,1,0.008636777565993327,True,0.0005,L1,0.006941735237511462,400,4.604281290373681,5.817689695491128
1,100,100,1,ReLU,5000,1,0.0057918899193141055,True,0.0005,None,0.008139670299182587,400,1.0101292972442248,1.240943082373542
1,87,87,1,ReLU,5000,1,0.0025131715058552577,True,0.0005,L1,0.004714950564406607,400,1.1789821631956248,1.3337231910454246
1,8,8,1,ReLU,5000,1,0.00697689839880952,True,0.0005,L2,0.005822318484900518,400,14.535142624028099,9.84337854743791
1,84,84,1,leaky ReLU,5000,1,0.004081304148709402,True,0.0005,L1,0.00884479720963885,400,1.5669974802209232,1.3690965277766778
1,52,52,1,ReLU,5000,1,0.005074640661636661,True,0.0005,None,0.007697690649237093,400,1.0079985423116853,1.22029523033993
1,72,72,1,leaky ReLU,5000,1,0.006619731795788656,True,0.0005,L1,0.009703385449409341,400,1.631287138007276,1.5626431193259018
